Id,Label,timeset,lat,lng,provinz,background_map_node
"Antoninus Pius, Carcalla, Elagabal, Gordianus I./II./III.,""Antoninus Pius, Carcalla, Elagabal, Gordianus I./II./III."",""<[151.0, 250.0]>"",41.9028,12.4964,Roma,"
"Antoninus Pius, Marc Aurel,""Antoninus Pius, Marc Aurel"",""<[139.0, 161.0]>"",41.9028,12.4964,Roma,"
"Antoninus Pius, Marc Aurel, Lucius Verus, Commodus, Pertinax, Didius Iulianus, Septimus Severus,""Antoninus Pius, Marc Aurel, Lucius Verus, Commodus, Pertinax, Didius Iulianus, Septimus Severus"",""<[151.0, 200.0]>"",41.9028,12.4964,Roma,"
"Antoninus Pius, Marc Aurel, Lucius Verus, Commodus, Pertinax, Didius Iulianus, Septimus Severus, Caracalla, Geta, Macrinus, Elagabal, Severus Alexander,""Antoninus Pius, Marc Aurel, Lucius Verus, Commodus, Pertinax, Didius Iulianus, Septimus Severus, Caracalla, Geta, Macrinus, Elagabal, Severus Alexander"",""<[151.0, 230.0]>"",41.9028,12.4964,Roma,"
"Augustus,Augustus,""<[-27.0, 14.0]>"",41.9028,12.4964,Roma,"
"Augustus, Tiberius,""Augustus, Tiberius"",""<[9.0, 10.0]>"",41.9028,12.4964,Roma,"
"Augustus, Tiberius, Caligula, Claudius, Nero, Galba, Otho, Vitellius, Vespasian, Titus, Domitian, Nerva, Traian,""Augustus, Tiberius, Caligula, Claudius, Nero, Galba, Otho, Vitellius, Vespasian, Titus, Domitian, Nerva, Traian"",""<[1.0, 100.0]>"",41.9028,12.4964,Roma,"
"Aurelian,Aurelian,""<[270.0, 275.0]>"",41.9028,12.4964,Roma,"
"Caligula, Claudius, Nero, Galba, Otho, Vitellius, Vespasian, Titus, Domitian,""Caligula, Claudius, Nero, Galba, Otho, Vitellius, Vespasian, Titus, Domitian"",""<[46.0, 85.0]>"",41.9028,12.4964,Roma,"
"Caracalla,Caracalla,""<[211.0, 220.0]>"",41.9028,12.4964,Roma,"
"Carinus,Carinus,""<[284.0, 285.0]>"",41.9028,12.4964,Roma,"
"Carus,Carus,""<[282.0, 283.0]>"",41.9028,12.4964,Roma,"
"Claudius,Claudius,""<[41.0, 68.0]>"",41.9028,12.4964,Roma,"
"Commodus,Commodus,""<[180.0, 192.0]>"",41.9028,12.4964,Roma,"
"Decius,Decius,""<[249.0, 251.0]>"",41.9028,12.4964,Roma,"
"Diocletian,Diocletian,""<[284.0, 305.0]>"",40.4555,29.5556,Izmit / Nikomedia,"
"Diocletian, Maximian,""Diocletian, Maximian"",""<[284.0, 305.0]>"",45.2751,9.1125,Mailand / Mediolanum,"
"Diocletian, Maximian, Constantius I., Galerius,""Diocletian, Maximian, Constantius I., Galerius"",""<[293.0, 305.0]>"",41.001,28.583,Konstantinopel,"
"Domitian,Domitian,""<[85.0, 96.0]>"",41.9028,12.4964,Roma,"
"Elagabal,Elagabal,""<[218.0, 222.0]>"",41.9028,12.4964,Roma,"
"Florianus,Florianus,""<[276.0,276.0]>"","
bckm_4792,,,72.430544,-79.683319,,true
"Galerius,Galerius,""<[293.0, 305.0]>"",41.001,28.583,Konstantinopel,"
"Gallienus,Gallienus,""<[253.0, 268.0]>"",45.2751,9.1125,Mailand / Mediolanum,"
"Gordianus I./II./III.,Gordianus I./II./III.,""<[238.0, 244.0]>"",41.9028,12.4964,Roma,"
"Gordianus III.,Gordianus III.,""<[238.0, 244.0]>"",41.9028,12.4964,Roma,"
"Hadrian,Hadrian,""<[117.0, 139.0]>"",41.9028,12.4964,Roma,"
"Hadrian, Antoninus Pius,""Hadrian, Antoninus Pius"",""<[117.0, 161.0]>"",41.9028,12.4964,Roma,"
"Herennius Etruscus,Herennius Etruscus,""<[250.0, 250.0]>"",41.9028,12.4964,Roma,"
"Hostilian,Hostilian,""<[250.0, 250.0]>"",41.9028,12.4964,Roma,"
"Iulia Domna,Iulia Domna,""<[195.0, 222.0]>"",41.9028,12.4964,Roma,"
"Iulia Mamaea,Iulia Mamaea,""<[222.0, 235.0]>"",41.9028,12.4964,Roma,"
"Iulianus,Iulianus,""<[360.0, 360.0]>"",41.001,28.583,Konstantinopel,"
"Konstantin der Große,Konstantin der Große,""<[306.0, 337.0]>"",41.001,28.583,Konstantinopel,"
"Licinius,Licinius,""<[308.0, 324.0]>"",40.4555,29.5556,Izmit / Nikomedia,"
"Licinius, Konstantin der Große, Crispus, Constantin II., Constantius II.,""Licinius, Konstantin der Große, Crispus, Constantin II., Constantius II."",""<[308.0, 324.0]>"",41.001,28.583,Konstantinopel,"
"Macrinus, Diadumenianus,""Macrinus, Diadumenianus"",""<[218.0, 218.0]>"",36.123,36.092,Antiochia,"
"Magnentius,Magnentius,""<[350.0, 353.0]>"",46.5728,4.1748,Autun / Augustodunum,"
"Marc Aurel,Marc Aurel,""<[161.0, 217.0]>"",41.9028,12.4964,Roma,"
"Marc Aurel, Didius Iulianus, Caracalla, Macrinus, Severus Alexander,""Marc Aurel, Didius Iulianus, Caracalla, Macrinus, Severus Alexander"",""<[161.0, 235.0]>"",41.9028,12.4964,Roma,"
"Marc Aurel, Lucius Verus,""Marc Aurel, Lucius Verus"",""<[161.0, 169.0]>"",41.9028,12.4964,Roma,"
