Id,Label,timeset,lat,lng,provinz,background_map_node
bckm_20703,,,28.906389,-13.852222,,true
bckm_20704,,,29.231668,-13.442501,,true
bckm_20705,,,28.92639,-13.609724,,true
bckm_20706,,,35.266665,-2.925278,,true
bckm_20707,,,35.329165,-2.946945,,true
bckm_20708,,,35.273607,-2.914722,,true
bckm_20709,,,35.266665,-2.925278,,true
bckm_20710,,,35.87694,-5.319445,,true
bckm_20711,,,35.841661,-5.345833,,true
bckm_20712,,,35.916338,-5.395557,,true
bckm_20713,,,35.87694,-5.319445,,true
bckm_20714,,,35.912775,-3.03611,,true
bckm_20715,,,35.915834,-3.051111,,true
bckm_20716,,,35.92444,-3.027222,,true
bckm_20717,,,35.912775,-3.03611,,true
bckm_20718,,,38.687777,1.57778,,true
bckm_20719,,,38.643328,1.39028,,true
bckm_20720,,,38.720552,1.383055,,true
bckm_20721,,,38.687777,1.57778,,true
bckm_20722,,,38.951944,1.531668,,true
bckm_20723,,,38.898333,1.211946,,true
bckm_20724,,,39.118334,1.519724,,true
bckm_20725,,,38.951944,1.531668,,true
bckm_20726,,,39.73472,3.247778,,true
bckm_20727,,,39.711107,3.479723,,true
bckm_20728,,,39.263613,3.063612,,true
bckm_20729,,,39.555834,2.364168,,true
bckm_20730,,,39.911112,2.98778,,true
bckm_20731,,,39.73472,3.247778,,true
bckm_20732,,,39.96139,4.273333,,true
bckm_20733,,,39.806391,4.276388,,true
bckm_20734,,,40.017221,3.796946,,true
bckm_20735,,,39.96139,4.273333,,true
bckm_20736,,,43.759996,-7.855555,,true
bckm_20737,,,43.490404,-7.044819,,true
bckm_20738,,,43.359926,-1.780876,,true
bckm_20739,,,42.781389,-0.562222,,true
bckm_20740,,,42.601946,1.445833,,true
bckm_20741,,,42.509439,1.723612,,true
bckm_20742,,,42.436808,3.177656,,true
bckm_20743,,,41.867495,3.17528,,true
bckm_20744,,,41.032778,0.964445,,true
bckm_20745,,,40.036104,0.048891,,true
bckm_20746,,,39.435556,-0.338055,,true
bckm_20747,,,38.73221,0.207224,,true
bckm_20748,,,38.324999,-0.511667,,true
bckm_20749,,,37.606943,-0.715555,,true
bckm_20750,,,37.372774,-1.64361,,true
bckm_20751,,,36.731386,-2.129166,,true
bckm_20752,,,36.722223,-4.398333,,true
bckm_20753,,,36.162561,-5.334507,,true
bckm_20754,,,36.163309,-5.355799,,true
bckm_20755,,,36.180277,-6.0375,,true
bckm_20756,,,36.860834,-6.355555,,true
bckm_20757,,,37.253191,-7.431854,,true
bckm_20758,,,37.699442,-7.446945,,true
bckm_20759,,,38.178057,-6.939167,,true
bckm_20760,,,38.449442,-7.321112,,true
bckm_20761,,,39.026384,-6.954792,,true
bckm_20762,,,39.66942,-7.532505,,true
bckm_20763,,,39.674997,-7.017221,,true
bckm_20764,,,41.018053,-6.931667,,true
bckm_20765,,,41.579721,-6.187222,,true
bckm_20766,,,41.953608,-6.594166,,true
bckm_20767,,,41.87472,-8.204723,,true
bckm_20768,,,42.152742,-8.201223,,true
bckm_20769,,,41.952501,-8.745008,,true
bckm_20770,,,42.108057,-8.898613,,true
bckm_20771,,,42.351664,-8.579723,,true
bckm_20772,,,42.25139,-8.869167,,true
bckm_20773,,,42.695833,-8.719446,,true
bckm_20774,,,42.528887,-9.041389,,true
bckm_20775,,,43.152773,-9.209446,,true
bckm_20776,,,43.759996,-7.855555,,true
bckm_20777,,,37.170832,-6.924999,,true
bckm_20778,,,37.210276,-6.973055,,true
bckm_20779,,,37.180277,-6.954166,,true
bckm_20780,,,37.170832,-6.924999,,true
bckm_20781,,,13.709444,-60.954727,,true
bckm_20782,,,13.879999,-61.079445,,true
bckm_20783,,,14.109444,-60.930283,,true
bckm_20784,,,13.709444,-60.954727,,true
bckm_20785,,,20.75111,37.268608,,true
bckm_20786,,,20.785831,37.242218,,true
bckm_20787,,,20.849724,37.263855,,true
bckm_20788,,,20.75111,37.268608,,true
bckm_20789,,,21.998333,31.453888,,true
bckm_20790,,,22.000111,36.888466,,true
bckm_20791,,,21.060276,37.309441,,true
bckm_20792,,,21.212219,37.10527,,true
bckm_20793,,,18.858055,37.433327,,true
bckm_20794,,,17.994881,38.600693,,true
bckm_20795,,,17.034214,37.423286,,true
bckm_20796,,,17.073887,36.995827,,true
bckm_20797,,,16.269444,36.973053,,true
bckm_20798,,,15.149952,36.443283,,true
bckm_20799,,,14.262053,36.542816,,true
bckm_20800,,,12.706923,36.142693,,true
bckm_20801,,,12.666115,35.70108,,true
bckm_20802,,,11.826944,35.096939,,true
bckm_20803,,,10.734999,34.864441,,true
bckm_20804,,,10.887777,34.594444,,true
bckm_20805,,,10.554165,34.28611,,true
bckm_20806,,,8.577221,34.120552,,true
bckm_20807,,,8.458611,33.252777,,true
bckm_20808,,,7.924999,32.991104,,true
bckm_20809,,,7.660277,33.711388,,true
bckm_20810,,,6.677777,34.70472,,true
bckm_20811,,,5.378055,35.301941,,true
bckm_20812,,,5.32861,35.821663,,true
bckm_20813,,,4.622499,35.940552,,true
bckm_20814,,,4.609682,34.388191,,true
bckm_20815,,,4.222777,33.996666,,true
bckm_20816,,,3.752222,33.516937,,true
bckm_20817,,,3.888611,33.016663,,true
bckm_20818,,,3.511389,32.193329,,true
bckm_20819,,,3.795278,31.176666,,true
bckm_20820,,,3.493394,30.858818,,true
bckm_20821,,,4.643611,29.64333,,true
bckm_20822,,,4.29,28.363052,,true
bckm_20823,,,5.016388,27.455276,,true
bckm_20824,,,5.771944,27.142776,,true
bckm_20825,,,6.077777,26.437496,,true
bckm_20826,,,6.646388,26.404999,,true
bckm_20827,,,7.497499,25.206944,,true
bckm_20828,,,7.850555,25.25333,,true
bckm_20829,,,8.30361,24.192497,,true
bckm_20830,,,8.686943,24.201111,,true
bckm_20831,,,8.714167,23.517776,,true
bckm_20832,,,9.866943,23.669167,,true
bckm_20833,,,10.922447,22.866505,,true
bckm_20834,,,12.621666,22.466942,,true
bckm_20835,,,12.797499,21.827774,,true
bckm_20836,,,13.35861,22.294167,,true
bckm_20837,,,13.779165,22.084442,,true
bckm_20838,,,14.125555,22.554996,,true
bckm_20839,,,14.554165,22.384163,,true
bckm_20840,,,15.11611,22.935833,,true
bckm_20841,,,15.561943,22.937222,,true
bckm_20842,,,15.698709,23.999603,,true
bckm_20843,,,19.499065,24.002747,,true
bckm_20844,,,20.001942,24.000832,,true
bckm_20845,,,19.999119,25.000832,,true
bckm_20846,,,21.999695,25.001423,,true
bckm_20847,,,21.998333,31.271111,,true
bckm_20848,,,22.23222,31.455555,,true
bckm_20849,,,21.998333,31.453888,,true
bckm_20850,,,56.826942,16.836666,,true
bckm_20851,,,56.211105,16.42083,,true
bckm_20852,,,57.348328,17.105553,,true
bckm_20853,,,56.826942,16.836666,,true
bckm_20854,,,56.911942,18.206108,,true
bckm_20855,,,57.531105,18.119164,,true
bckm_20856,,,57.908607,19.004719,,true
bckm_20857,,,56.911942,18.206108,,true
bckm_20858,,,57.955826,19.334442,,true
bckm_20859,,,57.839722,19.12611,,true
bckm_20860,,,57.901108,19.034443,,true
bckm_20861,,,57.955826,19.334442,,true
bckm_20862,,,57.932495,11.594444,,true
bckm_20863,,,58.036659,11.501944,,true
bckm_20864,,,58.041714,11.735884,,true
bckm_20865,,,57.932495,11.594444,,true
bckm_20866,,,58.116104,16.816666,,true
bckm_20867,,,58.100555,16.77861,,true
bckm_20868,,,58.123329,16.801109,,true
bckm_20869,,,58.116104,16.816666,,true
bckm_20870,,,58.120552,11.806389,,true
bckm_20871,,,58.130272,11.40111,,true
bckm_20872,,,58.286659,11.6775,,true
bckm_20873,,,58.120552,11.806389,,true
bckm_20874,,,58.337219,19.236942,,true
bckm_20875,,,58.391388,19.186665,,true
bckm_20876,,,58.366104,19.331108,,true
bckm_20877,,,58.337219,19.236942,,true
bckm_20878,,,58.916939,17.691387,,true
bckm_20879,,,58.971107,17.639164,,true
bckm_20880,,,59.054718,17.675831,,true
bckm_20881,,,58.916939,17.691387,,true
bckm_20882,,,59.023888,18.40583,,true
bckm_20883,,,59.034996,18.35722,,true
bckm_20884,,,59.119995,18.479164,,true
bckm_20885,,,59.023888,18.40583,,true
bckm_20886,,,59.223885,18.53722,,true
bckm_20887,,,59.284721,18.389442,,true
bckm_20888,,,59.254166,18.610275,,true
bckm_20889,,,59.223885,18.53722,,true
bckm_20890,,,59.310555,17.786942,,true
bckm_20891,,,59.416664,17.605553,,true
bckm_20892,,,59.372772,17.773888,,true
bckm_20893,,,59.310555,17.786942,,true
bckm_20894,,,59.296104,17.734722,,true
bckm_20895,,,59.277771,17.817497,,true
bckm_20896,,,59.305275,17.622776,,true
bckm_20897,,,59.418327,17.520275,,true
bckm_20898,,,59.296104,17.734722,,true
bckm_20899,,,59.374443,17.266388,,true
bckm_20900,,,59.459442,17.07,,true
bckm_20901,,,59.44416,17.266941,,true
bckm_20902,,,59.374443,17.266388,,true
bckm_20903,,,59.448326,18.575554,,true
bckm_20904,,,59.526382,18.570274,,true
bckm_20905,,,59.544998,18.746944,,true
bckm_20906,,,59.448326,18.575554,,true
bckm_20907,,,60.307777,18.57,,true
bckm_20908,,,60.365273,18.401108,,true
bckm_20909,,,60.499718,18.374165,,true
bckm_20910,,,60.307777,18.57,,true
bckm_20911,,,62.363327,17.509163,,true
bckm_20912,,,62.471664,17.367222,,true
bckm_20913,,,62.458328,17.472221,,true
bckm_20914,,,62.363327,17.509163,,true
bckm_20915,,,62.67083,18.060833,,true
bckm_20916,,,62.73555,18.039165,,true
bckm_20917,,,62.728882,18.153053,,true
bckm_20918,,,62.67083,18.060833,,true
bckm_20919,,,63.751663,20.885555,,true
bckm_20920,,,63.773331,20.838055,,true
bckm_20921,,,63.773331,20.928608,,true
bckm_20922,,,63.751663,20.885555,,true
bckm_20923,,,68.570541,21.809166,,true
bckm_20924,,,67.941666,23.666111,,true
bckm_20925,,,67.465546,23.43111,,true
bckm_20926,,,67.416107,23.767776,,true
bckm_20927,,,67.156662,23.571663,,true
bckm_20928,,,66.800552,24.007774,,true
bckm_20929,,,66.31221,23.661942,,true
bckm_20930,,,65.814026,24.167007,,true
bckm_20931,,,65.905548,22.644722,,true
bckm_20932,,,65.829712,22.329166,,true
bckm_20933,,,65.535263,22.40583,,true
bckm_20934,,,65.722488,21.766941,,true
bckm_20935,,,65.545273,22.199165,,true
bckm_20936,,,65.337494,21.260555,,true
bckm_20937,,,65.142212,21.621387,,true
bckm_20938,,,64.824432,21.03611,,true
bckm_20939,,,64.439713,21.584999,,true
bckm_20940,,,63.869164,20.777775,,true
bckm_20941,,,63.549438,19.428055,,true
bckm_20942,,,62.77861,18.208611,,true
bckm_20943,,,62.991943,17.696663,,true
bckm_20944,,,62.601387,18.048054,,true
bckm_20945,,,62.486938,17.328888,,true
bckm_20946,,,62.23111,17.65472,,true
bckm_20947,,,61.945274,17.34972,,true
bckm_20948,,,61.635826,17.498886,,true
bckm_20949,,,61.719719,17.140274,,true
bckm_20950,,,60.945,17.150555,,true
bckm_20951,,,59.75972,19.081944,,true
bckm_20952,,,59.335548,17.941109,,true
bckm_20953,,,59.400551,17.764442,,true
bckm_20954,,,59.533051,17.845276,,true
bckm_20955,,,59.66333,17.71722,,true
bckm_20956,,,59.656105,17.59222,,true
bckm_20957,,,59.665833,17.648331,,true
bckm_20958,,,59.718048,17.654163,,true
bckm_20959,,,59.806938,17.594166,,true
bckm_20960,,,59.676109,17.444721,,true
bckm_20961,,,59.573006,17.543152,,true
bckm_20962,,,59.706383,17.513054,,true
bckm_20963,,,59.731384,17.618332,,true
bckm_20964,,,59.668449,17.561171,,true
bckm_20965,,,59.535828,17.786663,,true
bckm_20966,,,59.442772,17.73111,,true
bckm_20967,,,59.654999,17.38361,,true
bckm_20968,,,59.494995,16.020275,,true
bckm_20969,,,59.383331,16.889999,,true
bckm_20970,,,59.471382,16.692776,,true
bckm_20971,,,59.489441,16.840275,,true
bckm_20972,,,59.247498,17.375832,,true
bckm_20973,,,59.32444,17.35083,,true
bckm_20974,,,59.264442,17.847221,,true
bckm_20975,,,59.368607,18.289444,,true
bckm_20976,,,59.330276,18.466663,,true
bckm_20977,,,59.433609,18.434444,,true
bckm_20978,,,59.338882,18.640274,,true
bckm_20979,,,59.310829,18.277222,,true
bckm_20980,,,59.1325,18.311386,,true
bckm_20981,,,58.858887,17.894722,,true
bckm_20982,,,59.168327,17.663887,,true
bckm_20983,,,58.75222,17.349998,,true
bckm_20984,,,58.627495,16.193607,,true
bckm_20985,,,58.484161,16.93861,,true
bckm_20986,,,58.474716,16.41333,,true
bckm_20987,,,58.19944,16.824718,,true
bckm_20988,,,57.986938,16.613888,,true
bckm_20989,,,57.884438,16.770554,,true
bckm_20990,,,57.98555,16.495552,,true
bckm_20991,,,57.74015,16.700706,,true
bckm_20992,,,57.893326,16.41861,,true
bckm_20993,,,57.469162,16.693333,,true
bckm_20994,,,56.092216,15.865555,,true
bckm_20995,,,56.16111,14.696665,,true
bckm_20996,,,55.830276,14.217222,,true
bckm_20997,,,55.386147,14.193546,,true
bckm_20998,,,55.400551,12.982222,,true
bckm_20999,,,55.693054,13.059721,,true
bckm_21000,,,56.297775,12.451666,,true
bckm_21001,,,56.232773,12.813332,,true
bckm_21002,,,56.411942,12.622221,,true
bckm_21003,,,56.638329,12.887499,,true
bckm_21004,,,57.69722,11.698889,,true
bckm_21005,,,58.211937,11.88611,,true
bckm_21006,,,58.318329,11.798054,,true
bckm_21007,,,58.399437,11.201387,,true
bckm_21008,,,59.003609,11.113333,,true
bckm_21009,,,58.98764,11.429192,,true
bckm_21010,,,59.090271,11.75111,,true
bckm_21011,,,59.8461,11.81596,,true
bckm_21012,,,60.111107,12.494165,,true
bckm_21013,,,60.516937,12.594444,,true
bckm_21014,,,61.002495,12.209999,,true
bckm_21015,,,61.362495,12.85611,,true
bckm_21016,,,61.728607,12.124443,,true
bckm_21017,,,62.261665,12.295832,,true
bckm_21018,,,63.272217,11.936388,,true
bckm_21019,,,63.58416,12.139444,,true
bckm_21020,,,64.053329,12.938055,,true
bckm_21021,,,64.018051,13.988333,,true
bckm_21022,,,64.470551,14.116388,,true
bckm_21023,,,64.582764,13.662498,,true
bckm_21024,,,65.313599,14.493055,,true
bckm_21025,,,66.132492,14.504999,,true
bckm_21026,,,66.283875,15.468054,,true
bckm_21027,,,66.479996,15.362778,,true
bckm_21028,,,67.017776,16.353886,,true
bckm_21029,,,67.411652,16.085831,,true
bckm_21030,,,67.899155,16.726944,,true
bckm_21031,,,67.945541,17.884163,,true
bckm_21032,,,68.507767,18.090832,,true
bckm_21033,,,68.337494,19.937775,,true
bckm_21034,,,68.786652,20.350277,,true
bckm_21035,,,69.042221,20.096943,,true
bckm_21036,,,69.060303,20.580929,,true
bckm_21037,,,68.570541,21.809166,,true
bckm_21038,,,37.106926,42.355614,,true
bckm_21039,,,36.355553,41.290276,,true
bckm_21040,,,34.419434,41.003876,,true
bckm_21041,,,33.377594,38.794701,,true
bckm_21042,,,32.313606,36.837776,,true
bckm_21043,,,32.685272,35.648888,,true
bckm_21044,,,33.245728,35.623634,,true
bckm_21045,,,34.204994,36.623741,,true
bckm_21046,,,34.635277,36.459999,,true
bckm_21047,,,34.647499,35.972771,,true
bckm_21048,,,35.581665,35.733887,,true
bckm_21049,,,35.926994,35.92244,,true
bckm_21050,,,36.236107,36.690269,,true
bckm_21051,,,36.83371,36.659943,,true
bckm_21052,,,36.665276,39.229996,,true
bckm_21053,,,37.11805,40.770821,,true
bckm_21054,,,37.106926,42.355614,,true
bckm_21055,,,47.543327,7.697223,,true
bckm_21056,,,47.59137,8.57642,,true
bckm_21057,,,47.806938,8.566111,,true
bckm_21058,,,47.540451,9.566724,,true
bckm_21059,,,47.274544,9.533569,,true
bckm_21060,,,47.057457,9.474637,,true
bckm_21061,,,47.063835,9.598635,,true
bckm_21062,,,46.871353,10.471235,,true
bckm_21063,,,46.546387,10.465277,,true
bckm_21064,,,46.539993,10.050278,,true
bckm_21065,,,46.227219,10.129999,,true
bckm_21066,,,46.495827,9.281944,,true
bckm_21067,,,45.837776,9.036665,,true
bckm_21068,,,46.463333,8.436388,,true
bckm_21069,,,45.919052,7.855742,,true
bckm_21070,,,45.931938,7.038054,,true
bckm_21071,,,46.434166,6.791389,,true
bckm_21072,,,46.209442,5.966666,,true
bckm_21073,,,47.497215,6.990555,,true
bckm_21074,,,47.58448,7.588268,,true
bckm_21075,,,47.543327,7.697223,,true
bckm_21076,,,47.696808,8.710255,,true
bckm_21077,,,47.711105,8.670555,,true
bckm_21078,,,47.693344,8.678595,,true
bckm_21079,,,47.696808,8.710255,,true
bckm_21080,,,10.797222,-60.923058,,true
bckm_21081,,,10.140554,-61.008057,,true
bckm_21082,,,10.042776,-61.91806,,true
bckm_21083,,,10.278332,-61.458336,,true
bckm_21084,,,10.709166,-61.662224,,true
bckm_21085,,,10.797222,-60.923058,,true
bckm_21086,,,11.203054,-60.63945,,true
bckm_21087,,,11.158333,-60.847504,,true
bckm_21088,,,11.346109,-60.526672,,true
bckm_21089,,,11.203054,-60.63945,,true
bckm_21090,,,6.532499,99.219162,,true
bckm_21091,,,6.548888,99.159988,,true
bckm_21092,,,6.571944,99.256119,,true
bckm_21093,,,6.532499,99.219162,,true
bckm_21094,,,6.496387,99.668045,,true
bckm_21095,,,6.593888,99.594986,,true
bckm_21096,,,6.702995,99.662811,,true
bckm_21097,,,6.496387,99.668045,,true
bckm_21098,,,7.15611,100.536087,,true
bckm_21099,,,7.154999,100.520813,,true
bckm_21100,,,7.174166,100.534973,,true
bckm_21101,,,7.15611,100.536087,,true
bckm_21102,,,7.194721,99.38916,,true
bckm_21103,,,7.270555,99.3936,,true
bckm_21104,,,7.234165,99.419144,,true
bckm_21105,,,7.194721,99.38916,,true
bckm_21106,,,7.468055,99.110809,,true
bckm_21107,,,7.525832,99.04248,,true
bckm_21108,,,7.636666,99.024155,,true
bckm_21109,,,7.468055,99.110809,,true
bckm_21110,,,7.591944,99.119705,,true
bckm_21111,,,7.669443,99.045822,,true
bckm_21112,,,7.665277,99.121918,,true
bckm_21113,,,7.591944,99.119705,,true
bckm_21114,,,7.930554,98.434708,,true
bckm_21115,,,7.93611,98.418045,,true
bckm_21116,,,7.94361,98.43692,,true
bckm_21117,,,7.930554,98.434708,,true
bckm_21118,,,7.901111,98.603592,,true
bckm_21119,,,8.121386,98.526093,,true
bckm_21120,,,8.048609,98.611923,,true
bckm_21121,,,7.901111,98.603592,,true
bckm_21122,,,7.941753,98.399841,,true
bckm_21123,,,7.757222,98.305252,,true
bckm_21124,,,8.186386,98.282486,,true
bckm_21125,,,7.941753,98.399841,,true
bckm_21126,,,8.084442,98.616653,,true
bckm_21127,,,8.11722,98.568329,,true
bckm_21128,,,8.189165,98.628311,,true
bckm_21129,,,8.084442,98.616653,,true
bckm_21130,,,9.030554,98.266663,,true
bckm_21131,,,9.158054,98.280823,,true
bckm_21132,,,9.084164,98.324432,,true
bckm_21133,,,9.030554,98.266663,,true
bckm_21134,,,9.381941,97.87915,,true
bckm_21135,,,9.402777,97.835266,,true
bckm_21136,,,9.43222,97.847214,,true
bckm_21137,,,9.381941,97.87915,,true
bckm_21138,,,9.437498,97.89888,,true
bckm_21139,,,9.458609,97.847488,,true
bckm_21140,,,9.475554,97.883881,,true
bckm_21141,,,9.437498,97.89888,,true
bckm_21142,,,9.506109,99.681366,,true
bckm_21143,,,9.524443,99.664993,,true
bckm_21144,,,9.53861,99.708603,,true
bckm_21145,,,9.506109,99.681366,,true
bckm_21146,,,9.574999,98.467484,,true
bckm_21147,,,9.573887,98.457764,,true
bckm_21148,,,9.585554,98.464432,,true
bckm_21149,,,9.574999,98.467484,,true
bckm_21150,,,9.41361,99.976089,,true
bckm_21151,,,9.546944,99.932205,,true
bckm_21152,,,9.58861,100.080833,,true
bckm_21153,,,9.41361,99.976089,,true
bckm_21154,,,9.606665,99.685532,,true
bckm_21155,,,9.607498,99.676651,,true
bckm_21156,,,9.629164,99.673599,,true
bckm_21157,,,9.606665,99.685532,,true
bckm_21158,,,9.714165,98.407211,,true
bckm_21159,,,9.732775,98.380814,,true
bckm_21160,,,9.770832,98.408325,,true
bckm_21161,,,9.714165,98.407211,,true
bckm_21162,,,9.686665,100.081673,,true
bckm_21163,,,9.711388,99.99054,,true
bckm_21164,,,9.796387,99.987488,,true
bckm_21165,,,9.686665,100.081673,,true
bckm_21166,,,11.56361,102.59552,,true
bckm_21167,,,11.601387,102.531357,,true
bckm_21168,,,11.754396,102.560226,,true
bckm_21169,,,11.56361,102.59552,,true
bckm_21170,,,11.954165,102.435791,,true
bckm_21171,,,11.974442,102.291351,,true
bckm_21172,,,12.15,102.250549,,true
bckm_21173,,,11.954165,102.435791,,true
bckm_21174,,,12.283888,102.241089,,true
bckm_21175,,,12.285276,102.235527,,true
bckm_21176,,,12.299442,102.2397,,true
bckm_21177,,,12.283888,102.241089,,true
bckm_21178,,,12.923609,100.688873,,true
bckm_21179,,,12.938332,100.671654,,true
bckm_21180,,,12.952776,100.676376,,true
bckm_21181,,,12.923609,100.688873,,true
bckm_21182,,,13.129442,100.816673,,true
bckm_21183,,,13.180277,100.807213,,true
bckm_21184,,,13.150555,100.821381,,true
bckm_21185,,,13.129442,100.816673,,true
bckm_21186,,,20.348841,100.081322,,true
bckm_21187,,,20.348606,100.09137,,true
bckm_21188,,,20.157768,100.58046,,true
bckm_21189,,,19.526665,100.503601,,true
bckm_21190,,,19.562218,101.281097,,true
bckm_21191,,,17.567219,100.921371,,true
bckm_21192,,,17.459995,101.162773,,true
bckm_21193,,,18.214983,102.089394,,true
bckm_21194,,,17.819996,102.683594,,true
bckm_21195,,,18.434994,103.397217,,true
bckm_21196,,,18.321663,103.985527,,true
bckm_21197,,,17.50333,104.718323,,true
bckm_21198,,,16.528332,104.747208,,true
bckm_21199,,,15.659721,105.637772,,true
bckm_21200,,,14.563332,105.536102,,true
bckm_21201,,,14.349648,105.210602,,true
bckm_21202,,,14.32972,103.180542,,true
bckm_21203,,,13.573887,102.377197,,true
bckm_21204,,,11.635851,102.916092,,true
bckm_21205,,,12.567497,102.060257,,true
bckm_21206,,,12.682775,100.853867,,true
bckm_21207,,,13.462809,100.976349,,true
bckm_21208,,,13.419998,100.066673,,true
bckm_21209,,,12.194164,100.021378,,true
bckm_21210,,,10.365553,99.149155,,true
bckm_21211,,,9.254166,99.237488,,true
bckm_21212,,,9.300831,99.847763,,true
bckm_21213,,,7.159444,100.421082,,true
bckm_21214,,,6.851388,101.541367,,true
bckm_21215,,,6.236138,102.09523,,true
bckm_21216,,,5.743332,101.833862,,true
bckm_21217,,,5.916666,101.569977,,true
bckm_21218,,,5.631943,101.139687,,true
bckm_21219,,,6.248888,101.115517,,true
bckm_21220,,,6.448332,100.654968,,true
bckm_21221,,,6.71111,100.214981,,true
bckm_21222,,,6.424947,100.127113,,true
bckm_21223,,,8.38361,98.656372,,true
bckm_21224,,,8.274443,98.274155,,true
bckm_21225,,,10.348608,98.742752,,true
bckm_21226,,,11.826942,99.661652,,true
bckm_21227,,,13.055832,99.112198,,true
bckm_21228,,,13.727781,99.173965,,true
bckm_21229,,,15.074999,98.201096,,true
bckm_21230,,,16.38583,98.92804,,true
bckm_21231,,,16.284996,98.689697,,true
bckm_21232,,,18.562496,97.346375,,true
bckm_21233,,,18.569996,97.774704,,true
bckm_21234,,,19.807499,98.049988,,true
bckm_21235,,,19.780552,98.995529,,true
bckm_21236,,,20.352776,99.522766,,true
bckm_21237,,,20.348841,100.081322,,true
bckm_21238,,,37.237328,74.915741,,true
bckm_21239,,,37.462753,73.307205,,true
bckm_21240,,,36.67601,71.6772,,true
bckm_21241,,,37.075829,71.429428,,true
bckm_21242,,,37.902618,71.591934,,true
bckm_21243,,,37.922035,71.252777,,true
bckm_21244,,,38.248497,71.363037,,true
bckm_21245,,,38.472115,70.967209,,true
bckm_21246,,,37.933372,70.161377,,true
bckm_21247,,,37.536232,70.155823,,true
bckm_21248,,,37.580826,69.515823,,true
bckm_21249,,,37.115273,69.315262,,true
bckm_21250,,,37.3386,68.887772,,true
bckm_21251,,,36.932526,68.058014,,true
bckm_21252,,,37.185822,67.779877,,true
bckm_21253,,,38.195541,68.384155,,true
bckm_21254,,,38.98555,68.123871,,true
bckm_21255,,,39.212494,67.376373,,true
bckm_21256,,,39.483582,67.441956,,true
bckm_21257,,,39.55471,68.540268,,true
bckm_21258,,,40.089714,69.009995,,true
bckm_21259,,,40.178329,68.600815,,true
bckm_21260,,,40.201385,69.308029,,true
bckm_21261,,,40.772491,69.356094,,true
bckm_21262,,,40.638603,69.732483,,true
bckm_21263,,,41.049118,70.423874,,true
bckm_21264,,,40.725594,70.796799,,true
bckm_21265,,,40.376404,70.375534,,true
bckm_21266,,,40.244843,70.98204,,true
bckm_21267,,,39.90683,70.498032,,true
bckm_21268,,,40.131378,69.540817,,true
bckm_21269,,,39.539436,69.306091,,true
bckm_21270,,,39.40094,70.997757,,true
bckm_21271,,,39.6213,71.473038,,true
bckm_21272,,,39.191856,72.248596,,true
bckm_21273,,,39.454826,73.655685,,true
bckm_21274,,,38.607712,73.817764,,true
bckm_21275,,,38.470482,74.856644,,true
bckm_21276,,,37.647156,74.902771,,true
bckm_21277,,,37.406586,75.187485,,true
bckm_21278,,,37.237328,74.915741,,true
bckm_21279,,,-9.377499,-171.214722,,true
bckm_21280,,,-9.378889,-171.223907,,true
bckm_21281,,,-9.345556,-171.224701,,true
bckm_21282,,,-9.377499,-171.214722,,true
bckm_21283,,,-9.207502,-171.843079,,true
bckm_21284,,,-9.206667,-171.860535,,true
bckm_21285,,,-9.168058,-171.853882,,true
bckm_21286,,,-9.207502,-171.843079,,true
bckm_21287,,,-8.587221,-172.483917,,true
bckm_21288,,,-8.553888,-172.496979,,true
bckm_21289,,,-8.566666,-172.483612,,true
bckm_21290,,,-8.587221,-172.483917,,true
bckm_21291,,,-21.426666,-174.910858,,true
bckm_21292,,,-21.365833,-174.974701,,true
bckm_21293,,,-21.30611,-174.911438,,true
bckm_21294,,,-21.426666,-174.910858,,true
bckm_21295,,,-21.178059,-175.145844,,true
bckm_21296,,,-21.099171,-175.359467,,true
bckm_21297,,,-21.139442,-175.047241,,true
bckm_21298,,,-21.178059,-175.145844,,true
bckm_21299,,,-20.27639,-174.760834,,true
bckm_21300,,,-20.234722,-174.791962,,true
bckm_21301,,,-20.237225,-174.76004,,true
bckm_21302,,,-20.27639,-174.760834,,true
bckm_21303,,,-19.926666,-174.41394,,true
bckm_21304,,,-19.910004,-174.422546,,true
bckm_21305,,,-19.881668,-174.390869,,true
bckm_21306,,,-19.926666,-174.41394,,true
bckm_21307,,,-19.821945,-174.318604,,true
bckm_21308,,,-19.811951,-174.35498,,true
bckm_21309,,,-19.764172,-174.315857,,true
bckm_21310,,,-19.821945,-174.318604,,true
bckm_21311,,,-19.800838,-175.056671,,true
bckm_21312,,,-19.749725,-175.098602,,true
bckm_21313,,,-19.70639,-175.081696,,true
bckm_21314,,,-19.800838,-175.056671,,true
bckm_21315,,,-19.752785,-174.272522,,true
bckm_21316,,,-19.740833,-174.30722,,true
bckm_21317,,,-19.688053,-174.256134,,true
bckm_21318,,,-19.752785,-174.272522,,true
bckm_21319,,,-19.691387,-175.018341,,true
bckm_21320,,,-19.676666,-175.035858,,true
bckm_21321,,,-19.6525,-175.005585,,true
bckm_21322,,,-19.691387,-175.018341,,true
bckm_21323,,,-19.656113,-174.244476,,true
bckm_21324,,,-19.634445,-174.281952,,true
bckm_21325,,,-19.594444,-174.291962,,true
bckm_21326,,,-19.656113,-174.244476,,true
bckm_21327,,,-18.83028,-174.646973,,true
bckm_21328,,,-18.804447,-174.675049,,true
bckm_21329,,,-18.783058,-174.64978,,true
